dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,44.121889,219.805615,0.007872,0.787181,39.359044,1967.952180,6.282893
0.020000,44.120660,219.805615,0.009101,0.061464,-36.285849,-3782.244633,6.282997
0.020000,44.124678,219.805615,0.013120,0.200921,6.972866,2162.935732,0.000022
0.020000,44.215443,219.805632,0.103885,4.538263,216.867076,10494.710522,0.000336
0.020000,44.336454,219.805698,0.224896,6.050541,75.613926,-7062.657480,0.000756
0.020000,44.487699,219.805852,0.376141,7.562265,75.586182,-1.387218,0.001283
0.020000,44.669170,219.806142,0.557612,9.073557,75.564624,-1.077908,0.001918
0.020000,44.880853,219.806627,0.769296,10.584176,75.530949,-1.683733,0.002660
0.020000,45.122731,219.807373,1.011174,12.093927,75.487542,-2.170337,0.003513
0.020000,45.394786,219.808460,1.283232,13.602878,75.447519,-2.001179,0.004477
0.020000,45.696998,219.809976,1.585448,15.110794,75.395841,-2.583915,0.005554
0.020000,46.029344,219.812020,1.917800,16.617598,75.340172,-2.783431,0.006746
0.020000,46.391797,219.814702,2.280263,18.123164,75.278295,-3.093839,0.008056
0.020000,46.784329,219.818144,2.672810,19.627341,75.208842,-3.472676,0.009484
0.020000,47.206910,219.822479,3.095413,21.130169,75.141413,-3.371426,0.011035
0.020000,47.659504,219.827852,3.548039,22.631289,75.055991,-4.271118,0.012710
0.020000,48.142073,219.834420,4.030653,24.130717,74.971442,-4.227422,0.014513
0.020000,48.654580,219.842353,4.543221,25.628379,74.883087,-4.417787,0.016446
0.020000,49.196977,219.851834,5.085701,27.124020,74.782036,-5.052525,0.018513
0.020000,49.769219,219.863059,5.658053,28.617602,74.679106,-5.146497,0.020718
0.020000,50.371254,219.876239,6.260233,30.108969,74.568365,-5.537062,0.023064
0.020000,51.003028,219.891598,6.892193,31.598003,74.451688,-5.833826,0.025555
0.020000,51.664481,219.909377,7.553884,33.084590,74.329336,-6.117610,0.028195
0.020000,52.355548,219.929832,8.245254,34.568500,74.195504,-6.691592,0.030990
0.020000,53.076163,219.953233,8.966249,36.049747,74.062328,-6.658810,0.033943
0.020000,53.826253,219.979871,9.716812,37.528139,73.919645,-7.134140,0.037059
0.020000,54.605737,220.010051,10.496880,39.003412,73.763654,-7.799588,0.040345
0.020000,55.414534,220.044096,11.306393,40.475632,73.610962,-7.634593,0.043803
0.020000,56.252551,220.082352,12.145283,41.944527,73.444753,-8.310443,0.047442
0.020000,57.119694,220.125179,13.013483,43.409973,73.272333,-8.621000,0.051266
0.020000,58.015858,220.172961,13.910920,44.871856,73.094120,-8.910656,0.055281
0.020000,58.940933,220.226102,14.837520,46.330000,72.907192,-9.346402,0.059494
0.020000,59.894801,220.285027,15.793206,47.784315,72.715765,-9.571333,0.063911
0.020000,60.877334,220.350185,16.777898,49.234584,72.513438,-10.116328,0.068540
0.020000,61.888398,220.422047,17.791512,50.680702,72.305923,-10.375765,0.073387
0.020000,62.927847,220.501110,18.833963,52.122558,72.092769,-10.657686,0.078459
0.020000,63.995524,220.587893,19.905162,53.559949,71.869569,-11.160008,0.083765
0.020000,65.091265,220.682945,21.005018,54.992795,71.642297,-11.363638,0.089311
0.020000,66.214890,220.786838,22.133436,56.420899,71.405219,-11.853858,0.095107
0.020000,67.366210,220.900173,23.290321,57.844226,71.166342,-11.943882,0.101159
0.020000,68.545020,221.023580,24.475573,59.262623,70.919864,-12.323898,0.107477
0.020000,69.751102,221.157718,25.689091,60.675882,70.662931,-12.846652,0.114069
0.020000,70.984222,221.303274,26.930772,62.084048,70.408319,-12.730587,0.120944
0.020000,72.244130,221.460969,28.200510,63.486933,70.144228,-13.204563,0.128111
0.020000,73.530560,221.631551,29.498201,64.884538,69.880263,-13.198229,0.135578
0.020000,74.843227,221.815805,30.823736,66.276728,69.609493,-13.538496,0.143356
0.020000,76.181825,222.014544,32.177007,67.663546,69.340872,-13.431073,0.151453
0.020000,77.546029,222.228616,33.557905,69.044910,69.068212,-13.633011,0.159878
0.020000,78.935492,222.458904,34.966323,70.420897,68.799345,-13.443320,0.168641
0.020000,80.349844,222.706321,36.402152,71.791475,68.528898,-13.522384,0.177751
0.020000,81.788691,222.971818,37.865289,73.156830,68.267784,-13.055690,0.187216
0.020000,83.251612,223.256378,39.355629,74.516992,68.008072,-12.985561,0.197046
0.020000,84.738161,223.561017,40.873072,75.872147,67.757741,-12.516580,0.207250
0.020000,86.247863,223.886786,42.417522,77.222517,67.518534,-11.960365,0.217834
0.020000,87.780215,224.234769,43.988889,78.568356,67.291945,-11.329432,0.228807
0.020000,89.334683,224.606082,45.587089,79.910000,67.082173,-10.488606,0.240176
0.020000,90.910701,225.001872,47.212045,81.247814,66.890727,-9.572314,0.251948
0.020000,92.507672,225.423317,48.863691,82.582267,66.722622,-8.405219,0.264128
0.020000,94.124965,225.871625,50.541968,83.913874,66.580376,-7.112311,0.276722
0.020000,95.761914,226.348030,52.246833,85.243247,66.468622,-5.587692,0.289732
0.020000,97.417821,226.853790,53.978254,86.571064,66.390874,-3.887382,0.303162
0.020000,99.091949,227.390187,55.736216,87.898076,66.350605,-2.013477,0.317012
0.020000,100.783530,227.958524,57.520719,89.225153,66.353830,0.161249,0.331284
0.020000,102.491756,228.560121,59.331783,90.553225,66.403627,2.489860,0.345975
0.020000,104.215784,229.196310,61.169448,91.883243,66.500867,4.862009,0.361081
0.020000,105.954740,229.868436,63.033776,93.216395,66.657620,7.837641,0.376598
0.020000,107.707710,230.577846,64.924852,94.553797,66.870125,10.625234,0.392518
0.020000,109.473748,231.325893,66.842785,95.896623,67.141281,13.557804,0.408832
0.020000,111.251877,232.113925,68.787710,97.246269,67.482300,17.050945,0.425529
0.020000,113.041083,232.943281,70.759788,98.603876,67.880352,19.902634,0.442594
0.020000,114.840326,233.815288,72.759205,99.970882,68.350294,23.497100,0.460012
0.020000,116.648538,234.731255,74.786181,101.348779,68.894853,27.227944,0.477765
0.020000,118.464622,235.692464,76.840952,102.738543,69.488199,29.667281,0.495831
0.020000,120.287460,236.700169,78.923788,104.141823,70.163993,33.789682,0.514189
0.020000,122.115912,237.755587,81.034982,105.559706,70.894143,36.507540,0.532813
0.020000,123.948815,238.859889,83.174846,106.993208,71.675097,39.047705,0.551676
0.020000,125.784999,240.014202,85.343719,108.443650,72.522121,42.351156,0.570750
0.020000,127.593587,241.199504,87.506109,108.119508,-16.207100,-4436.461007,0.587792
0.020000,129.658433,242.572143,89.985571,123.973054,792.677277,40444.218804,0.585796
0.020000,131.731932,243.946526,92.473205,124.381734,20.434036,-38612.162048,0.585114
0.020000,133.796659,245.315058,94.950295,123.854500,-26.361728,-2339.788185,0.585773
0.020000,135.835569,246.670371,97.398566,122.413549,-72.047524,-2284.289782,0.587764
0.020000,137.836443,248.008024,99.805392,120.341301,-103.612417,-1578.244650,0.591046
0.020000,139.793863,249.327717,102.166129,118.036848,-115.222644,-580.511382,0.595571
0.020000,141.706842,250.631760,104.481301,115.758587,-113.913068,65.478799,0.601294
0.020000,143.574499,251.922221,106.751418,113.505862,-112.636220,63.842438,0.608172
0.020000,145.396046,253.200935,108.976984,111.278290,-111.378643,62.878855,0.616161
0.020000,147.170789,254.469516,111.158500,109.075789,-110.125027,62.680776,0.625220
0.020000,148.898126,255.729369,113.296471,106.898576,-108.860673,63.217685,0.635304
