dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,200.496317,312.205568,0.007852,0.785226,39.261297,1963.064831,3.642298
0.020000,200.507817,312.211852,0.020957,0.655232,-6.499709,-2288.050300,3.641183
0.020000,200.481697,312.197642,0.050692,1.486736,41.575233,2403.747098,3.638951
0.020000,200.433477,312.171569,0.105509,2.740883,62.707355,1056.606123,3.635597
0.020000,200.369163,312.137119,0.178469,3.648007,45.356152,-867.560129,3.631114
0.020000,200.288725,312.094553,0.269475,4.550298,45.114579,-12.078668,3.625493
0.020000,200.192137,312.044205,0.378397,5.446105,44.790337,-16.212125,3.618725
0.020000,200.079354,311.986464,0.505102,6.335251,44.457294,-16.652120,3.610796
0.020000,199.950314,311.921781,0.649447,7.217215,44.098202,-17.954604,3.601696
0.020000,199.804931,311.850660,0.811294,8.092347,43.756627,-17.078776,3.591413
0.020000,199.643097,311.773661,0.990511,8.960873,43.426294,-16.516621,3.579934
0.020000,199.464665,311.691395,1.186994,9.824160,43.164330,-13.098205,3.567252
0.020000,199.269441,311.604512,1.400679,10.684236,43.003829,-8.025058,3.553361
0.020000,199.057177,311.513710,1.631549,11.543497,42.963046,-2.039124,3.538259
0.020000,198.827552,311.419719,1.879666,12.405856,43.117925,7.743922,3.521952
0.020000,198.580157,311.323304,2.145184,13.275901,43.502235,19.215519,3.504453
0.020000,198.314484,311.225264,2.428370,14.159297,44.169830,33.379740,3.485785
0.020000,198.029896,311.126421,2.729634,15.063197,45.195004,51.258675,3.465982
0.020000,197.725625,311.027635,3.049540,15.995286,46.604432,70.471430,3.445092
0.020000,197.400740,310.929793,3.388838,16.964919,48.481669,93.861856,3.423180
0.020000,197.054140,310.833822,3.748479,17.982059,50.857001,118.766595,3.400326
0.020000,196.684545,310.740694,4.129627,19.057401,53.767105,145.505188,3.376630
0.020000,196.290486,310.651431,4.533669,20.202094,57.234618,173.375663,3.352209
0.020000,195.870315,310.567119,4.962216,21.427346,61.262615,201.399844,3.327201
0.020000,195.422214,310.488912,5.417091,22.743723,65.818842,227.811348,3.301760
0.020000,194.944219,310.418038,5.900312,24.161057,70.866709,252.393343,3.276058
0.020000,194.434248,310.355799,6.414067,25.687753,76.334782,273.403676,3.250283
0.020000,193.890141,310.303562,6.960676,27.330440,82.134369,289.979347,3.224630
0.020000,193.309699,310.262744,7.542551,29.093763,88.166138,301.588448,3.199305
0.020000,192.690728,310.234787,8.162153,30.980102,94.316946,307.540403,3.174519
0.020000,192.031073,310.221124,8.821949,32.989819,100.485867,308.446037,3.150480
0.020000,191.328650,310.223135,9.524375,35.121301,106.574103,304.411794,3.127396
0.020000,190.581462,310.242101,10.271804,37.371416,112.505737,296.581716,3.105468
0.020000,189.787608,310.279152,11.066522,39.735935,118.225976,286.011911,3.084892
0.020000,188.945267,310.335207,11.910726,42.210182,123.712329,274.317650,3.065855
0.020000,188.052683,310.410930,12.806517,44.789525,128.967170,262.742089,3.048535
0.020000,187.108122,310.506668,13.755916,47.469988,134.023153,252.799130,3.033103
0.020000,186.109831,310.622403,14.760894,50.248866,138.943864,246.035547,3.019729
0.020000,185.055980,310.757698,15.823394,53.125030,143.808234,243.218525,3.008577
0.020000,183.944602,310.911644,16.945384,56.099472,148.722063,245.691439,2.999814
0.020000,182.773534,311.082800,18.128893,59.175471,153.799976,253.895643,2.993614
0.020000,181.540352,311.269124,19.376071,62.358918,159.172335,268.617929,2.990160
0.020000,180.242316,311.467886,20.689237,65.658283,164.968269,289.796708,2.989648
0.020000,178.876321,311.675570,22.070930,69.084635,171.317591,317.466121,2.992295
0.020000,177.438869,311.887740,23.523956,72.651330,178.334769,350.858876,2.998340
0.020000,175.926063,312.098883,25.051425,76.373449,186.105933,388.558196,3.008048
0.020000,174.333659,312.302212,26.656758,80.266645,194.659796,427.693189,3.021710
0.020000,172.657172,312.489429,28.343667,84.345424,203.938956,463.957988,3.039643
0.020000,170.892099,312.650472,30.116071,88.620207,213.739123,490.008341,3.062180
0.020000,169.034291,312.773241,31.977931,93.093002,223.639779,495.032797,3.089658
0.020000,167.080517,312.843379,33.932964,97.751645,232.932154,464.618743,3.122396
0.020000,165.029283,312.844170,35.984198,102.561705,240.502973,378.540959,3.160651
0.020000,163.548486,312.814870,37.465285,74.054353,-1425.367566,-83293.526964,3.161559
0.020000,161.879572,312.781216,39.134538,83.462647,470.414678,94789.112223,3.161949
0.020000,160.179333,312.746273,40.835136,85.029918,78.363529,-19602.557480,3.162332
0.020000,158.447777,312.710026,42.567072,86.596768,78.342510,-1.050920,3.162710
0.020000,156.684913,312.672464,44.330335,88.163190,78.321098,-1.070619,3.163081
0.020000,154.890751,312.633576,46.124919,89.729176,78.299299,-1.089958,3.163444
0.020000,153.065299,312.593355,47.950813,91.294718,78.277112,-1.109348,3.163799
0.020000,151.208568,312.551792,49.808009,92.859809,78.254535,-1.128837,3.164145
0.020000,149.320567,312.508887,51.696498,94.424440,78.231579,-1.147810,3.164481
0.020000,147.401305,312.464635,53.616270,95.988605,78.208216,-1.168124,3.164806
0.020000,145.450792,312.419040,55.567316,97.552294,78.184481,-1.186754,3.165120
0.020000,143.469038,312.372105,57.549626,99.115501,78.160354,-1.206341,3.165421
0.020000,141.456052,312.323836,59.563191,100.678218,78.135829,-1.226260,3.165709
0.020000,139.411845,312.274244,61.607999,102.240436,78.110933,-1.244794,3.165983
0.020000,137.336426,312.223340,63.684042,103.802149,78.085632,-1.265071,3.166243
0.020000,135.229806,312.171141,65.791309,105.363348,78.059955,-1.283856,3.166486
0.020000,133.091994,312.117666,67.929790,106.924026,78.033882,-1.303641,3.166713
0.020000,130.923001,312.062937,70.099473,108.484174,78.007425,-1.322870,3.166922
0.020000,128.722836,312.006982,72.300349,110.043786,77.980569,-1.342799,3.167113
0.020000,126.491511,311.949829,74.532406,111.602853,77.953341,-1.361378,3.167285
0.020000,124.229035,311.891512,76.795633,113.161367,77.925708,-1.381651,3.167436
0.020000,121.935419,311.832070,79.090020,114.719321,77.897693,-1.400766,3.167566
0.020000,119.610673,311.771545,81.415554,116.276706,77.869287,-1.420256,3.167674
0.020000,117.254806,311.709983,83.772224,117.833516,77.840496,-1.439586,3.167758
0.020000,114.867831,311.647435,86.160019,119.389742,77.811308,-1.459391,3.167818
0.020000,112.449756,311.583957,88.578927,120.945377,77.781735,-1.478672,3.167854
0.020000,110.000593,311.519609,91.028935,122.500412,77.751769,-1.498299,3.167862
0.020000,107.520352,311.454456,93.510032,124.054841,77.721413,-1.517773,3.167844
0.020000,105.016891,311.388775,96.014355,125.216153,58.065607,-982.790325,3.167797
0.020000,102.510111,311.323159,98.521993,125.381889,8.286789,-2488.940900,3.167722
0.020000,100.019907,311.258197,101.013044,124.552572,-41.465843,-2487.631560,3.167620
0.020000,97.557757,311.194252,103.476025,123.149038,-70.176678,-1435.541778,3.167492
0.020000,95.127290,311.131472,105.907302,121.563878,-79.257999,-454.066024,3.167338
0.020000,92.728493,311.069908,108.306889,119.979321,-79.227858,1.507021,3.167161
0.020000,90.361354,311.009604,110.674796,118.395359,-79.198111,1.487337,3.166960
0.020000,88.025860,310.950600,113.011036,116.811984,-79.168738,1.468679,3.166738
0.020000,85.721997,310.892933,115.315619,115.229189,-79.139775,1.448168,3.166494
0.020000,83.449755,310.836634,117.588559,113.646965,-79.111187,1.429402,3.166231
0.020000,81.209122,310.781731,119.829865,112.065305,-79.082991,1.409782,3.165948
0.020000,79.000085,310.728246,122.039549,110.484201,-79.055185,1.390290,3.165647
0.020000,76.822634,310.676200,124.217622,108.903646,-79.027757,1.371412,3.165330
0.020000,74.676758,310.625609,126.364094,107.323631,-79.000734,1.351149,3.164995
0.020000,72.562446,310.576486,128.478977,105.744150,-78.974089,1.332256,3.164646
0.020000,70.479687,310.528839,130.562281,104.165193,-78.947833,1.312787,3.164282
0.020000,68.428471,310.482676,132.614016,102.586754,-78.921968,1.293238,3.163904
0.020000,66.408789,310.437998,134.634193,101.008824,-78.896479,1.274486,3.163514
0.020000,64.420630,310.394805,136.622821,99.431396,-78.871398,1.254037,3.163111
0.020000,62.463985,310.353096,138.579910,97.854462,-78.846690,1.235384,3.162698
0.020000,60.538845,310.312864,140.505470,96.278015,-78.822374,1.215809,3.162275
0.020000,58.645201,310.274102,142.399511,94.702046,-78.798447,1.196328,3.161842
0.020000,56.783043,310.236798,144.262042,93.126548,-78.774906,1.177049,3.161400
0.020000,54.952364,310.200941,146.093072,91.551513,-78.751755,1.157557,3.160951
0.020000,53.153155,310.166516,147.892611,89.976933,-78.728992,1.138150,3.160495
0.020000,51.385407,310.133504,149.660667,88.402801,-78.706618,1.118728,3.160032
0.020000,49.649113,310.101889,151.397249,86.829108,-78.684634,1.099187,3.159564
0.020000,47.944264,310.071648,153.102366,85.255847,-78.663030,1.080216,3.159091
0.020000,46.270853,310.042761,154.776026,83.683011,-78.641830,1.059983,3.158614
0.020000,44.628873,310.015201,156.418238,82.110591,-78.621002,1.041375,3.158134
0.020000,43.018315,309.988946,158.029010,80.538579,-78.600575,1.021393,3.157651
0.020000,41.439173,309.963966,159.608349,78.966969,-78.580530,1.002254,3.157166
0.020000,39.891440,309.940236,161.156264,77.395751,-78.560883,0.982311,3.156680
0.020000,38.375109,309.917724,162.672763,75.824919,-78.541614,0.963483,3.156193
0.020000,36.890173,309.896402,164.157852,74.254463,-78.522754,0.942974,3.155706
0.020000,35.436625,309.876238,165.611539,72.684378,-78.504255,0.924962,3.155220
0.020000,34.014459,309.857200,167.033832,71.114655,-78.486156,0.904946,3.154735
0.020000,32.623669,309.839256,168.424738,69.545285,-78.468496,0.882993,3.154252
0.020000,31.264249,309.822372,169.784263,67.976263,-78.451115,0.869051,3.153771
0.020000,29.936192,309.806513,171.112415,66.407578,-78.434253,0.843126,3.153294
0.020000,28.639493,309.791647,172.409199,64.839224,-78.417687,0.828259,3.152819
0.020000,27.374145,309.777737,173.674623,63.271193,-78.401545,0.807136,3.152349
0.020000,26.140144,309.764749,174.908693,61.703477,-78.385831,0.785664,3.151884
0.020000,24.937484,309.752648,176.111414,60.136069,-78.370389,0.772103,3.151424
0.020000,23.766159,309.741398,177.282793,58.568959,-78.355513,0.743821,3.150969
0.020000,22.626163,309.730963,178.422836,57.002141,-78.340873,0.732010,3.150521
0.020000,21.517493,309.721308,179.531548,55.435608,-78.326679,0.709687,3.150079
0.020000,20.440143,309.712398,180.608935,53.869349,-78.312934,0.687226,3.149645
0.020000,19.394108,309.704198,181.655003,52.303360,-78.299461,0.673661,3.149218
0.020000,18.379383,309.696672,182.669755,50.737630,-78.286498,0.648177,3.148799
0.020000,17.395964,309.689787,183.653198,49.172153,-78.273828,0.633467,3.148389
0.020000,16.443847,309.683507,184.605337,47.606921,-78.261604,0.611233,3.147987
0.020000,15.523026,309.677799,185.526175,46.041927,-78.249729,0.593747,3.147595
0.020000,14.633498,309.672629,186.415718,44.477159,-78.238375,0.567686,3.147213
0.020000,13.775258,309.667965,187.273971,42.912616,-78.227177,0.559887,3.146840
0.020000,12.948303,309.663776,188.100936,41.348284,-78.216568,0.530441,3.146478
0.020000,12.152629,309.660028,188.896620,39.784158,-78.206310,0.512922,3.146127
0.020000,11.388231,309.656692,189.661024,38.220230,-78.196394,0.495789,3.145786
0.020000,10.655107,309.653738,190.394154,36.656494,-78.186813,0.479049,3.145458
0.020000,9.953254,309.651136,191.096013,35.092937,-78.177831,0.449119,3.145141
0.020000,9.282666,309.648859,191.766604,33.529557,-78.168998,0.441648,3.144836
0.020000,8.643342,309.646879,192.405931,31.966343,-78.160699,0.414928,3.144543
0.020000,8.035279,309.645170,193.013997,30.403289,-78.152737,0.398143,3.144263
0.020000,7.458473,309.643707,193.590804,28.840385,-78.145189,0.377376,3.143996
0.020000,6.912922,309.642465,194.136357,27.277624,-78.138048,0.357058,3.143742
0.020000,6.398623,309.641422,194.650657,25.714999,-78.131259,0.339464,3.143501
