dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.187805,309.637567,0.007830,0.783005,39.150232,1957.511580,0.002129
0.020000,3.203439,309.637590,0.023463,0.781670,-0.066729,-1960.848042,0.000798
0.020000,3.278651,309.637532,0.098676,3.760614,148.947201,7450.696535,6.281317
0.020000,3.419860,309.636985,0.239886,7.060528,164.995677,802.423796,6.277295
0.020000,3.608595,309.635364,0.428628,9.437075,118.827354,-2308.416157,6.271895
0.020000,3.845241,309.631886,0.665300,11.833587,119.825617,49.913154,6.265080
0.020000,4.130281,309.625547,0.950410,14.255532,121.097233,63.580797,6.256808
0.020000,4.464257,309.615104,1.284549,16.706944,122.570627,73.669699,6.247030
0.020000,4.847768,309.599057,1.668395,19.192316,124.268578,84.897514,6.235685
0.020000,5.281496,309.575623,2.102756,21.718037,126.286075,100.874859,6.222708
0.020000,5.766127,309.542712,2.588504,24.287385,128.467382,109.065368,6.208024
0.020000,6.302270,309.497906,3.126516,26.900610,130.661276,109.694677,6.191555
0.020000,6.890570,309.438416,3.717816,29.565001,133.219521,127.912249,6.173218
0.020000,7.531492,309.361075,4.363387,32.278570,135.678473,122.947611,6.152927
0.020000,8.225273,309.262319,5.064162,35.038737,138.008324,116.492561,6.130603
0.020000,8.971918,309.138166,5.821058,37.844814,140.303872,114.777416,6.106167
0.020000,9.770983,308.984245,6.634813,40.687752,142.146892,92.150980,6.079559
0.020000,10.621454,308.795839,7.505903,43.554486,143.336695,59.490159,6.050735
0.020000,11.521648,308.567945,8.434497,46.429666,143.758995,21.114980,6.019682
0.020000,12.469005,308.295417,9.420274,49.288854,142.959428,-39.978354,5.986428
0.020000,13.459981,307.973130,10.462340,52.103301,140.722319,-111.855455,5.951048
0.020000,14.489920,307.596220,11.559079,54.836957,136.682792,-201.976322,5.913679
0.020000,15.553037,307.160353,12.708077,57.449920,130.648180,-301.730595,5.874528
0.020000,16.642430,306.662045,13.906029,59.897575,122.382734,-413.272293,5.833875
0.020000,17.750289,306.098941,15.148783,62.137695,112.005981,-518.837649,5.792074
0.020000,18.868135,305.470085,16.431373,64.129541,99.592324,-620.682861,5.749548
0.020000,19.987243,304.776059,17.748216,65.842138,85.629862,-698.123122,5.706772
0.020000,21.099082,304.019026,19.093313,67.254842,70.635201,-749.733047,5.664256
0.020000,22.195779,303.202604,20.460532,68.360972,55.306484,-766.435836,5.622524
0.020000,23.270530,302.331643,21.843885,69.167608,40.331798,-748.734314,5.582085
0.020000,24.317889,301.411888,23.237768,69.694156,26.327386,-700.220568,5.543415
0.020000,25.333935,300.449638,24.637151,69.969153,13.749846,-628.877043,5.506944
0.020000,26.316279,299.451410,26.037672,70.026085,2.846625,-545.161052,5.473043
0.020000,27.263977,298.423666,27.435666,69.899688,-6.319853,-458.323893,5.442023
0.020000,28.177328,297.372656,28.828086,69.620999,-13.934428,-380.728751,5.414144
0.020000,29.057666,296.304317,30.212407,69.216028,-20.248576,-315.707358,5.389621
0.020000,29.907104,295.224288,31.586455,68.702418,-25.680506,-271.596531,5.368638
0.020000,30.728317,294.137984,32.948235,68.089007,-30.670534,-249.501380,5.351365
0.020000,31.524328,293.050722,34.295742,67.375328,-35.683962,-250.671398,5.337974
0.020000,32.298333,291.967888,35.626761,66.550963,-41.218249,-276.714366,5.328652
