dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.237833,286.137620,0.007830,0.783005,39.150232,1957.511580,0.002129
0.020000,3.222200,286.137597,0.023463,0.781670,-0.066729,-1960.848042,0.000798
0.020000,3.234734,286.137573,0.035998,0.626721,-7.747453,-384.036191,6.281317
0.020000,3.281450,286.137392,0.082714,2.335797,85.453785,4660.061911,6.277295
0.020000,3.343268,286.136862,0.144534,3.091012,37.760748,-2384.651869,6.271895
0.020000,3.419785,286.135738,0.221059,3.826241,36.761458,-49.964484,6.265080
0.020000,3.510495,286.133721,0.311792,4.536664,35.521155,-62.015148,6.256808
0.020000,3.614786,286.130462,0.416134,5.217096,34.021604,-74.977561,6.247030
0.020000,3.731938,286.125563,0.533388,5.862713,32.280826,-87.038896,6.235685
0.020000,3.861142,286.118586,0.662781,6.469613,30.345022,-96.790219,6.222708
0.020000,4.001490,286.109060,0.803451,7.033509,28.194793,-107.511417,6.208024
0.020000,4.151969,286.096491,0.954455,7.550197,25.834412,-118.019055,6.191555
0.020000,4.311533,286.080365,1.114831,8.018813,23.430777,-120.181772,6.173218
0.020000,4.479074,286.060158,1.283586,8.437738,20.946277,-124.224983,6.152927
0.020000,4.653475,286.035346,1.459744,8.807899,18.508066,-121.910537,6.130603
0.020000,4.833686,286.005396,1.642426,9.134125,16.311289,-109.838864,6.106167
0.020000,5.018758,285.969764,1.830897,9.423526,14.470038,-92.062552,6.079559
0.020000,5.207931,285.927875,2.024652,9.687783,13.212865,-62.858642,6.050735
0.020000,5.400743,285.879081,2.223543,9.944517,12.836670,-18.809751,6.019682
0.020000,5.597116,285.822608,2.427875,10.216606,13.604476,38.390301,5.986428
0.020000,5.797465,285.757463,2.638549,10.533698,15.854606,112.506485,5.951048
0.020000,6.002776,285.682334,2.857174,10.931276,19.878872,201.213309,5.913679
0.020000,6.214660,285.595458,3.086176,11.450092,25.940812,303.096977,5.874528
0.020000,6.435331,285.494497,3.328847,12.133525,34.171656,411.542216,5.833875
0.020000,6.667543,285.376423,3.589353,13.025333,44.590373,520.935854,5.792074
0.020000,6.914422,285.237469,3.872651,14.164898,56.978260,619.394363,5.749548
0.020000,7.179257,285.073128,4.184333,15.584096,70.959885,699.081261,5.706772
0.020000,7.465247,284.878269,4.530398,17.303217,85.956098,749.810631,5.664256
0.020000,7.775260,284.647319,4.916980,19.329105,101.294395,766.914847,5.622524
0.020000,8.111642,284.374524,5.350073,21.654672,116.278316,749.196053,5.582085
0.020000,8.476117,284.054232,5.835283,24.260509,130.291841,700.676237,5.543415
0.020000,8.869785,283.681163,6.377644,27.118048,142.876988,629.257342,5.506944
0.020000,9.293221,283.250623,6.981516,30.193607,153.777917,545.046443,5.473043
0.020000,9.746643,282.758641,7.650574,33.452867,162.963014,459.254874,5.442023
0.020000,10.230131,282.202023,8.387856,36.864115,170.562424,379.970507,5.414144
0.020000,10.743868,281.578325,9.195893,40.401876,176.888048,316.281186,5.389621
0.020000,11.288370,280.885782,10.076858,44.048219,182.317140,271.454584,5.368638
0.020000,11.864712,280.123191,11.032742,47.794209,187.299498,249.117916,5.351365
0.020000,12.474743,279.289789,12.065553,51.640527,192.315891,250.819636,5.337974
0.020000,13.121294,278.385135,13.177500,55.597370,197.842137,276.312301,5.328652
0.020000,13.808397,277.409021,14.371196,59.684799,204.371488,326.467554,5.323621
0.020000,14.541529,276.361415,15.649851,63.932764,212.398211,401.336171,5.323155
0.020000,15.327892,275.242476,17.017474,68.381117,222.417661,500.972490,5.327596
0.020000,16.176750,274.052649,18.479065,73.079581,234.923230,625.278464,5.337369
0.020000,17.099827,272.792903,20.040805,78.086983,250.370081,772.342522,5.353000
0.020000,18.111739,271.465183,21.710178,83.468635,269.082577,935.624835,5.375127
0.020000,19.230405,270.073175,23.495983,89.290280,291.082297,1099.985979,5.404501
0.020000,20.477291,268.623531,25.408100,95.605852,315.778577,1234.813999,5.441963
0.020000,21.877167,267.127697,27.456800,102.434988,341.456810,1283.911677,5.488390
0.020000,23.456840,265.604415,29.651283,109.724143,364.457715,1150.045221,5.544567
0.020000,25.242142,264.082544,31.997215,117.296599,378.622845,708.256524,5.610980
0.020000,27.252473,262.603247,34.493162,124.797336,375.036852,-179.299691,5.687510
0.020000,29.493162,261.219532,37.126668,131.675308,343.898574,-1556.913867,5.773099
0.020000,31.947981,259.990884,39.871793,137.256251,279.047172,-3242.570098,5.865536
0.020000,34.576237,258.972599,42.690416,140.931141,183.744479,-4765.134668,5.961572
0.020000,36.875355,258.302704,45.085139,119.736166,-1059.748733,-62174.660568,6.024151
0.020000,38.678376,257.833814,46.948132,93.149653,-1329.325671,-13478.846927,6.033434
0.020000,40.522501,257.373008,48.848959,95.041332,94.583940,71195.480536,6.043271
0.020000,42.408290,256.922027,50.787923,96.948213,95.344067,38.006354,6.053688
0.020000,44.336290,256.482745,52.765333,98.870511,96.114896,38.541458,6.064712
0.020000,46.307034,256.057171,54.781505,100.808593,96.904080,39.459201,6.076369
0.020000,48.321031,255.647457,56.836753,102.762419,97.691342,39.363107,6.088686
0.020000,50.378752,255.255909,58.931396,104.732119,98.484976,39.681679,6.101691
0.020000,52.480623,254.884987,61.065744,106.717435,99.265780,39.040231,6.115410
0.020000,54.627008,254.537312,63.240105,108.718042,100.030373,38.229630,6.129868
0.020000,56.818194,254.215673,65.454773,110.733374,100.766621,36.812417,6.145092
0.020000,59.054376,253.923025,67.710023,112.762501,101.456344,34.486160,6.161104
0.020000,61.335634,253.662491,70.006109,114.804338,102.091850,31.775266,6.177926
0.020000,63.661911,253.437359,72.343255,116.857256,102.645865,27.700752,6.195577
0.020000,66.032992,253.251075,74.721643,118.919403,103.107367,23.075109,6.214074
0.020000,68.448481,253.107233,77.141410,120.988370,103.448349,17.049101,6.233426
0.020000,70.907769,253.009560,79.602637,123.061348,103.648902,10.027668,6.253642
0.020000,73.410015,252.961897,82.105337,125.135015,103.683361,1.722921,6.274722
0.020000,75.954118,252.968168,84.649448,127.205539,103.526181,-7.859001,0.013476
0.020000,78.538694,253.032356,87.234821,129.268637,103.154893,-18.564371,0.036262
0.020000,81.162056,253.158456,89.861212,131.319547,102.545539,-30.467699,0.059874
0.020000,83.822200,253.350436,92.528274,133.353116,101.678438,-43.355078,0.084282
0.020000,86.516796,253.612185,95.235553,135.363957,100.542027,-56.820526,0.109448
0.020000,89.243186,253.947459,97.982481,137.346366,99.120472,-71.077761,0.135323
0.020000,91.998394,254.359825,100.768377,139.294840,97.423669,-84.840135,0.161849
0.020000,94.779146,254.852601,103.592454,141.203834,95.449744,-98.696289,0.188960
0.020000,97.581895,255.428803,106.453819,143.068239,93.220243,-111.475026,0.216578
0.020000,100.402864,256.091091,109.351489,144.883503,90.763200,-122.852171,0.244622
0.020000,103.238094,256.841725,112.284402,146.645678,88.108713,-132.724351,0.272999
0.020000,105.624898,257.509756,114.762930,123.926363,-1135.965714,-61203.721333,0.270440
0.020000,108.099987,258.189233,117.329592,128.333118,220.337746,67815.173016,0.265495
0.020000,110.564721,258.853466,119.882261,127.633435,-34.984164,-12766.095530,0.261068
0.020000,113.009481,259.501406,122.411426,126.458278,-58.757839,-1188.683744,0.257163
0.020000,115.432037,260.134002,124.915215,125.189427,-63.442535,-234.234800,0.253762
0.020000,117.831804,260.752567,127.393421,123.910306,-63.956054,-25.675954,0.250851
0.020000,120.208232,261.358341,129.845843,122.621079,-64.461373,-25.265926,0.248410
0.020000,122.560803,261.952493,132.272281,121.321910,-64.958438,-24.853277,0.246423
0.020000,124.889026,262.536122,134.672541,120.012998,-65.445592,-24.357659,0.244874
0.020000,127.192441,263.110259,137.046431,118.694519,-65.923973,-23.919092,0.243747
0.020000,129.470611,263.675869,139.393764,117.366662,-66.392840,-23.443309,0.243025
0.020000,131.723122,264.233850,141.714357,116.029609,-66.852671,-22.991547,0.242692
0.020000,133.949581,264.785035,144.008027,114.683544,-67.303244,-22.528693,0.242734
0.020000,136.149615,265.330199,146.274600,113.328638,-67.745303,-22.102941,0.243135
0.020000,138.322869,265.870051,148.513901,111.965062,-68.178778,-21.673719,0.243881
0.020000,140.469003,266.405243,150.725761,110.592970,-68.604600,-21.291107,0.244957
0.020000,142.587694,266.936372,152.910011,109.212518,-69.022605,-20.900282,0.246348
0.020000,144.678633,267.463975,155.066488,107.823845,-69.433641,-20.551782,0.248042
0.020000,146.741526,267.988536,157.195030,106.427094,-69.837553,-20.195575,0.250023
0.020000,148.776089,268.510488,159.295478,105.022381,-70.235670,-19.905888,0.252280
0.020000,150.782052,269.030210,161.367674,103.609833,-70.627382,-19.585571,0.254797
0.020000,152.759156,269.548033,163.411465,102.189554,-71.013933,-19.327571,0.257562
0.020000,154.707154,270.064241,165.426699,100.761672,-71.394106,-19.008649,0.260563
0.020000,156.625808,270.579069,167.413224,99.326259,-71.770669,-18.828130,0.263786
0.020000,158.514893,271.092709,169.370892,97.883424,-72.141724,-18.552773,0.267218
0.020000,160.374191,271.605309,171.299558,96.433272,-72.507628,-18.295211,0.270848
0.020000,162.203498,272.116976,173.199075,94.975866,-72.870313,-18.134207,0.274663
0.020000,164.002617,272.627777,175.069301,93.511314,-73.227599,-17.864326,0.278650
0.020000,165.771362,273.137739,176.910095,92.039691,-73.581129,-17.676498,0.282798
0.020000,167.509559,273.646853,178.721317,90.561085,-73.930297,-17.458400,0.287095
0.020000,169.217040,274.155076,180.502829,89.075582,-74.275151,-17.242690,0.291529
0.020000,170.893652,274.662330,182.254494,87.583270,-74.615612,-17.023055,0.296088
0.020000,172.539247,275.168504,183.976179,86.084231,-74.951943,-16.816567,0.300761
0.020000,174.153692,275.673459,185.667750,84.578560,-75.283527,-16.579166,0.305537
0.020000,175.736862,276.177027,187.329077,83.066349,-75.610554,-16.351358,0.310405
0.020000,177.288643,276.679011,188.960031,81.547695,-75.932702,-16.107434,0.315353
0.020000,178.808930,277.179190,190.560485,80.022699,-76.249826,-15.856178,0.320371
0.020000,180.297631,277.677320,192.130314,78.491466,-76.561661,-15.591770,0.325448
0.020000,181.754663,278.173133,193.669396,76.954095,-76.868529,-15.343357,0.330574
0.020000,183.179954,278.666343,195.177610,75.410708,-77.169371,-15.042101,0.335738
0.020000,184.573442,279.156645,196.654839,73.861440,-77.463390,-14.700984,0.340931
0.020000,185.935077,279.643714,198.100966,72.306376,-77.753171,-14.489040,0.346142
0.020000,187.264817,280.127213,199.515880,70.745665,-78.035568,-14.119862,0.351363
0.020000,188.562632,280.606790,200.899468,69.179438,-78.311348,-13.788986,0.356583
0.020000,189.828501,281.082082,202.251625,67.607844,-78.579724,-13.418786,0.361794
0.020000,191.062415,281.552713,203.572245,66.030998,-78.842292,-13.128412,0.366986
0.020000,192.264372,282.018300,204.861226,64.449056,-79.097088,-12.739780,0.372151
0.020000,193.434381,282.478452,206.118470,62.862177,-79.343970,-12.344123,0.377281
0.020000,194.572460,282.932773,207.343880,61.270494,-79.584103,-12.006651,0.382366
0.020000,195.678633,283.380860,208.537362,59.674134,-79.818002,-11.694920,0.387401
0.020000,196.752935,283.822309,209.698829,58.073303,-80.041550,-11.177430,0.392375
0.020000,197.795411,284.256714,210.828192,56.468176,-80.256371,-10.741045,0.397284
0.020000,198.806107,284.683667,211.925369,54.858837,-80.466946,-10.528737,0.402118
0.020000,199.785082,285.102762,212.990278,53.245466,-80.668552,-10.080299,0.406872
0.020000,200.732398,285.513596,214.022844,51.628300,-80.858295,-9.487161,0.411539
0.020000,201.648124,285.915766,215.022991,50.007360,-81.047010,-9.435748,0.416112
0.020000,202.532334,286.308876,215.990650,48.382946,-81.220682,-8.683589,0.420586
0.020000,203.385108,286.692536,216.925754,46.755167,-81.388957,-8.413784,0.424955
0.020000,204.206527,287.066357,217.828234,45.124042,-81.556263,-8.365290,0.429213
0.020000,204.996680,287.429964,218.698034,43.489976,-81.703278,-7.350748,0.433355
0.020000,205.755656,287.782985,219.535093,41.852963,-81.850682,-7.370193,0.437376
0.020000,206.483548,288.125059,220.339357,40.213207,-81.987783,-6.855034,0.441272
0.020000,207.180447,288.455833,221.110772,38.570743,-82.123206,-6.771158,0.445038
0.020000,207.846452,288.774968,221.849290,36.925885,-82.242893,-5.984358,0.448669
0.020000,208.481657,289.082131,222.554864,35.278725,-82.357998,-5.755263,0.452162
0.020000,209.086157,289.377003,223.227449,33.629214,-82.475574,-5.878762,0.455513
0.020000,209.660050,289.659278,223.867005,31.977825,-82.569431,-4.692857,0.458719
0.020000,210.203429,289.928661,224.473494,30.324426,-82.669955,-5.026212,0.461776
0.020000,210.716388,290.184871,225.046879,28.669262,-82.758181,-4.411283,0.464681
0.020000,211.199017,290.427640,225.587126,27.012367,-82.844758,-4.328895,0.467432
0.020000,211.651405,290.656714,226.094206,25.353977,-82.919490,-3.736584,0.470025
0.020000,212.073636,290.871853,226.568088,23.694091,-82.994335,-3.742232,0.472459
0.020000,212.465795,291.072832,227.008747,22.032964,-83.056338,-3.100184,0.474730
0.020000,212.827955,291.259440,227.416157,20.370483,-83.124033,-3.384704,0.476838
0.020000,213.160193,291.431482,227.790297,18.707014,-83.173483,-2.472543,0.478779
0.020000,213.462579,291.588778,228.131147,17.042524,-83.224482,-2.549934,0.480553
0.020000,213.735174,291.731164,228.438689,15.377062,-83.273086,-2.430172,0.482157
0.020000,213.978038,291.858491,228.712906,13.710889,-83.308660,-1.778704,0.483591
0.020000,214.191224,291.970624,228.953784,12.043877,-83.350619,-2.097977,0.484854
0.020000,214.374778,292.067447,229.161309,10.376273,-83.380191,-1.478586,0.485943
0.020000,214.528744,292.148861,229.335475,8.708292,-83.399048,-0.942833,0.486859
0.020000,214.653154,292.214777,229.476268,7.039663,-83.431442,-1.619709,0.487600
0.020000,214.748037,292.265129,229.583684,5.370781,-83.444111,-0.633447,0.488165
0.020000,214.813414,292.299862,229.657715,3.701522,-83.462936,-0.941270,0.488556
0.020000,214.849302,292.318943,229.698360,2.032289,-83.461657,0.063944,0.488770
0.020000,214.861477,292.325419,229.712150,0.689490,-67.139929,816.086408,0.488843
0.020000,214.863079,292.326270,229.713964,0.090700,-29.939523,1860.020312,0.488852
0.020000,214.863079,292.326270,229.713964,0.000000,-4.534996,1270.226324,0.488852
