dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,211.777366,291.590332,0.007852,0.785226,39.261297,1963.064831,3.642298
0.020000,211.765866,291.584047,0.020957,0.655232,-6.499709,-2288.050300,3.641183
0.020000,211.693673,291.544759,0.103148,4.109551,172.715953,8960.783101,3.638951
0.020000,211.576120,291.481197,0.236785,6.681865,128.615699,-2205.012683,3.635597
0.020000,211.418944,291.397005,0.415090,8.915229,111.668200,-847.374947,3.631114
0.020000,211.221758,291.292659,0.638183,11.154645,111.970823,15.131156,3.625493
0.020000,210.984120,291.168786,0.906168,13.399273,112.231390,13.028325,3.618725
0.020000,210.705493,291.026140,1.219188,15.650978,112.585229,17.691976,3.610796
0.020000,210.385277,290.865629,1.577380,17.909622,112.932241,17.350574,3.601696
0.020000,210.022809,290.688312,1.980896,20.175784,113.308099,18.792895,3.591413
0.020000,209.617396,290.495425,2.429855,22.447968,113.609169,15.053531,3.579934
0.020000,209.168319,290.288379,2.924363,24.725412,113.872191,13.151081,3.567252
0.020000,208.674849,290.068768,3.464494,27.006538,114.056318,9.206378,3.553361
0.020000,208.136300,289.838389,4.050250,29.287809,114.063542,0.361185,3.538259
0.020000,207.552025,289.599234,4.681576,31.566266,113.922869,-7.033662,3.521952
0.020000,206.921476,289.353498,5.358317,33.837063,113.539844,-19.151263,3.504453
0.020000,206.244235,289.103576,6.080201,36.094206,112.857139,-34.135251,3.485785
0.020000,205.520043,288.852048,6.846830,38.331445,111.861954,-49.759203,3.465982
0.020000,204.748874,288.601668,7.657627,40.539862,110.420865,-72.054453,3.445092
0.020000,203.930944,288.355329,8.511847,42.711002,108.556988,-93.193885,3.423180
0.020000,203.066772,288.116026,9.408540,44.834657,106.182741,-118.712349,3.400326
0.020000,202.157210,287.886811,10.346540,46.899996,103.266977,-145.788173,3.376630
0.020000,201.203462,287.670729,11.324459,48.895952,99.797773,-173.460215,3.352209
0.020000,200.207101,287.470749,12.340691,50.811586,95.781689,-200.804202,3.327201
0.020000,199.170069,287.289696,13.393409,52.635921,91.216750,-228.246928,3.301760
0.020000,198.094650,287.130170,14.480596,54.359339,86.170898,-252.292612,3.276058
