dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,44.115016,196.305616,0.007872,0.787181,39.359044,1967.952180,6.282893
0.020000,44.116245,196.305616,0.009101,0.061464,-36.285849,-3782.244633,6.282997
0.020000,44.125185,196.305615,0.018041,0.446988,19.276191,2778.101983,0.000022
0.020000,44.223343,196.305633,0.116199,4.907903,223.045749,10188.477936,0.000336
0.020000,44.354231,196.305705,0.247087,6.544425,81.826104,-7060.982275,0.000756
0.020000,44.517856,196.305871,0.410713,8.181264,81.841978,0.793735,0.001283
0.020000,44.714232,196.306186,0.607088,9.818786,81.876101,1.706146,0.001918
0.020000,44.943370,196.306710,0.836228,11.456961,81.908732,1.631512,0.002660
0.020000,45.205285,196.307518,1.098144,13.095811,81.942509,1.688867,0.003513
0.020000,45.499996,196.308696,1.392857,14.735645,81.991713,2.460189,0.004477
0.020000,45.827521,196.310338,1.720386,16.376448,82.040152,2.421961,0.005554
0.020000,46.187881,196.312554,2.080753,18.018373,82.096225,2.803664,0.006746
0.020000,46.581101,196.315464,2.473984,19.661526,82.157642,3.070814,0.008056
0.020000,47.007205,196.319201,2.900103,21.305987,82.223035,3.269676,0.009484
0.020000,47.466221,196.323910,3.359144,22.952046,82.302964,3.996456,0.011035
0.020000,47.958178,196.329750,3.851136,24.599562,82.375832,3.643411,0.012710
0.020000,48.483105,196.336895,4.376112,26.248808,82.462275,4.322147,0.014513
0.020000,49.041038,196.345531,4.934111,27.899956,82.557381,4.755299,0.016446
0.020000,49.632007,196.355861,5.525171,29.552988,82.651641,4.712993,0.018513
0.020000,50.256050,196.368102,6.149333,31.208128,82.756998,5.267832,0.020718
0.020000,50.913202,196.382489,6.806643,32.865472,82.867174,5.508810,0.023064
0.020000,51.603501,196.399271,7.497146,34.525160,82.984397,5.861149,0.025555
0.020000,52.326986,196.418718,8.220893,36.187343,83.109140,6.237156,0.028195
0.020000,53.083696,196.441115,8.977934,37.852047,83.235237,6.304847,0.030990
0.020000,53.873671,196.466770,9.768325,39.519570,83.376154,7.045826,0.033943
0.020000,54.696952,196.496007,10.592125,41.189990,83.520958,7.240200,0.037059
0.020000,55.553576,196.529173,11.449391,42.863302,83.665624,7.233319,0.040345
0.020000,56.443585,196.566638,12.340188,44.539873,83.828556,8.146623,0.043803
0.020000,57.367018,196.608793,13.264582,46.219702,83.991433,8.143814,0.047442
0.020000,58.323910,196.656053,14.222641,47.902950,84.162397,8.548198,0.051266
0.020000,59.314299,196.708860,15.214437,49.589790,84.342015,8.980927,0.055281
0.020000,60.338218,196.767679,16.240044,51.280333,84.527128,9.255629,0.059494
0.020000,61.395698,196.833006,17.299539,52.974781,84.722423,9.764742,0.063911
0.020000,62.486765,196.905362,18.393003,54.673197,84.920784,9.918050,0.068540
0.020000,63.611443,196.985300,19.520519,56.375766,85.128448,10.383227,0.073387
0.020000,64.769750,197.073404,20.682172,58.082661,85.344776,10.816376,0.078459
0.020000,65.961698,197.170289,21.878051,59.793954,85.564614,10.991931,0.083765
0.020000,67.187292,197.276606,23.108248,61.509839,85.794281,11.483330,0.089311
0.020000,68.446528,197.393039,24.372855,63.230378,86.026922,11.632033,0.095107
0.020000,69.739395,197.520310,25.671971,64.955796,86.270913,12.199550,0.101159
0.020000,71.065870,197.659177,27.005695,66.686177,86.519037,12.406197,0.107477
0.020000,72.425914,197.810440,28.374125,68.421519,86.767144,12.405368,0.114069
0.020000,73.819481,197.974937,29.777367,70.162090,87.028524,13.068991,0.120944
0.020000,75.246503,198.153550,31.215524,71.907861,87.288559,13.001774,0.128111
0.020000,76.706900,198.347203,32.688704,73.658992,87.556528,13.398423,0.135578
0.020000,78.200566,198.556865,34.197013,75.415446,87.822727,13.309963,0.143356
0.020000,79.727376,198.783550,35.740560,77.177349,88.095164,13.621847,0.151453
0.020000,81.287181,199.028319,37.319453,78.944636,88.364303,13.456972,0.159878
0.020000,82.879802,199.292281,38.933800,80.717360,88.636205,13.595103,0.168641
0.020000,84.505029,199.576591,40.583708,82.495388,88.901440,13.261751,0.177751
0.020000,86.162621,199.882454,42.269283,84.278765,89.168813,13.368643,0.187216
0.020000,87.852297,200.211125,43.990628,86.067265,89.425029,12.810784,0.197046
0.020000,89.573736,200.563904,45.747843,87.860757,89.674568,12.476971,0.207250
0.020000,91.326572,200.942141,47.541024,89.659042,89.914254,11.984308,0.217834
0.020000,93.110390,201.347234,49.370261,91.461843,90.140074,11.290985,0.228807
0.020000,94.924723,201.780625,51.235638,93.268855,90.350612,10.526900,0.240176
0.020000,96.769046,202.243801,53.137232,95.079671,90.540790,9.508869,0.251948
0.020000,98.642772,202.738288,55.075109,96.893853,90.709097,8.415371,0.264128
0.020000,100.545249,203.265654,57.049326,98.710866,90.850624,7.076331,0.276722
0.020000,102.475755,203.827498,59.059928,100.530116,90.962505,5.594093,0.289732
0.020000,104.433493,204.425451,61.106947,102.350920,91.040208,3.885117,0.303162
0.020000,106.417586,205.061169,63.190397,104.172497,91.078878,1.933519,0.317012
0.020000,108.427078,205.736325,65.310277,105.994028,91.076547,-0.116553,0.331284
0.020000,110.460926,206.452604,67.466569,107.814584,91.027795,-2.437615,0.345975
0.020000,112.517998,207.211696,69.659230,109.633079,90.924753,-5.152086,0.361081
